kpi_id,nome_kpi,valor_kpi,data_referencia
1,Lucro Bruto,71.21,2017-01-01
2,Margem Operacional,82.48,2017-01-01
3,Eficiência Maq,35.25,2017-01-01
4,Custo Total,47.16,2017-01-01
5,Lucro Bruto,31.84,2017-02-01
6,Margem Operacional,48.97,2017-02-01
7,Eficiência Maq,27.18,2017-02-01
8,Custo Total,53.23,2017-02-01
9,Lucro Bruto,37.14,2017-03-01
10,Margem Operacional,51.53,2017-03-01
11,Eficiência Maq,25.84,2017-03-01
12,Custo Total,39.59,2017-03-01
13,Lucro Bruto,55.27,2017-04-01
14,Margem Operacional,53.63,2017-04-01
15,Eficiência Maq,84.3,2017-04-01
16,Custo Total,49.01,2017-04-01
17,Lucro Bruto,81.04,2017-05-01
18,Margem Operacional,70.75,2017-05-01
19,Eficiência Maq,36.95,2017-05-01
20,Custo Total,48.61,2017-05-01
21,Lucro Bruto,81.59,2017-06-01
22,Margem Operacional,48.15,2017-06-01
23,Eficiência Maq,57.75,2017-06-01
24,Custo Total,45.23,2017-06-01
25,Lucro Bruto,43.22,2017-07-01
26,Margem Operacional,50.74,2017-07-01
27,Eficiência Maq,65.36,2017-07-01
28,Custo Total,51.29,2017-07-01
29,Lucro Bruto,54.88,2017-08-01
30,Margem Operacional,25.71,2017-08-01
31,Eficiência Maq,55.51,2017-08-01
32,Custo Total,58.75,2017-08-01
33,Lucro Bruto,46.6,2017-09-01
34,Margem Operacional,67.52,2017-09-01
35,Eficiência Maq,34.64,2017-09-01
36,Custo Total,47.07,2017-09-01
37,Lucro Bruto,69.68,2017-10-01
38,Margem Operacional,45.32,2017-10-01
39,Eficiência Maq,71.19,2017-10-01
40,Custo Total,54.46,2017-10-01
41,Lucro Bruto,40.16,2017-11-01
42,Margem Operacional,36.55,2017-11-01
43,Eficiência Maq,40.94,2017-11-01
44,Custo Total,63.11,2017-11-01
45,Lucro Bruto,44.45,2017-12-01
46,Margem Operacional,42.39,2017-12-01
47,Eficiência Maq,29.43,2017-12-01
48,Custo Total,63.09,2017-12-01
49,Lucro Bruto,66.06,2018-01-01
50,Margem Operacional,81.43,2018-01-01
51,Eficiência Maq,69.56,2018-01-01
52,Custo Total,84.36,2018-01-01
53,Lucro Bruto,73.32,2018-02-01
54,Margem Operacional,47.78,2018-02-01
55,Eficiência Maq,66.87,2018-02-01
56,Custo Total,49.36,2018-02-01
57,Lucro Bruto,40.63,2018-03-01
58,Margem Operacional,30.09,2018-03-01
59,Eficiência Maq,68.81,2018-03-01
60,Custo Total,44.98,2018-03-01
61,Lucro Bruto,30.92,2018-04-01
62,Margem Operacional,30.81,2018-04-01
63,Eficiência Maq,49.85,2018-04-01
64,Custo Total,52.7,2018-04-01
65,Lucro Bruto,37.13,2018-05-01
66,Margem Operacional,50.56,2018-05-01
67,Eficiência Maq,77.03,2018-05-01
68,Custo Total,39.27,2018-05-01
69,Lucro Bruto,27.38,2018-06-01
70,Margem Operacional,58.18,2018-06-01
71,Eficiência Maq,48.25,2018-06-01
72,Custo Total,78.33,2018-06-01
73,Lucro Bruto,48.53,2018-07-01
74,Margem Operacional,45.08,2018-07-01
75,Eficiência Maq,67.07,2018-07-01
76,Custo Total,33.46,2018-07-01
77,Lucro Bruto,33.33,2018-08-01
78,Margem Operacional,78.52,2018-08-01
79,Eficiência Maq,83.2,2018-08-01
80,Custo Total,39.8,2018-08-01
81,Lucro Bruto,38.84,2018-09-01
82,Margem Operacional,71.45,2018-09-01
83,Eficiência Maq,29.55,2018-09-01
84,Custo Total,84.66,2018-09-01
85,Lucro Bruto,51.87,2018-10-01
86,Margem Operacional,55.95,2018-10-01
87,Eficiência Maq,48.13,2018-10-01
88,Custo Total,65.59,2018-10-01
89,Lucro Bruto,43.01,2018-11-01
