id,receita_total,custos_variaveis,despesas_variaveis,custos_fixos,despesas_operacionais,juros,impostos,custo_ativo,valor_residual,vida_util_anos,custo_investimento,ativos_circulantes,passivos_circulantes,margem_contribuicao,ponto_equilibrio,lucro_bruto,lucro_liquido,depreciacao_anual,roi_percentual,capital_de_giro,data_registro
1,86551.59,25617.2,11402.28,5867.78,4069.67,657.34,1999.91,67024.22,5699.56,7.05,139568.61,80743.93,35446.01,47.63,25247.93,15738.88,10904.04,2600.94,16.86,18571.33,2017-01-01
2,84385.35,30818.44,9054.79,7178.11,5941.73,436.33,1845.21,69226.84,4720.1,6.91,117066.28,87333.41,37803.23,54.24,17176.78,13495.61,10286.9,2139.72,15.71,23511.69,2017-01-31
3,78807.13,25125.39,8915.88,5342.89,3503.63,314.24,3026.52,77252.93,5248.38,7.81,141423.55,56913.21,36399.23,43.29,24448.95,12309.27,13040.76,3356.31,11.32,22827.8,2017-03-02
4,55485.51,24190.44,11258.02,6335.06,5762.46,434.35,2027.56,74656.71,5219.11,6.76,87020.42,75003.1,25764.55,43.39,17285.88,11462.03,9724.75,2846.93,10.38,20845.06,2017-04-01
5,58509.93,27969.11,8767.93,8329.88,5983.73,314.61,2920.37,89438.91,5764.9,6.47,135891.08,54238.06,33927.4,34.57,23925.25,13346.21,11817.88,2524.66,17.5,13774.96,2017-05-01
6,47096.53,39305.93,12086.25,5790.86,5556.94,524.52,2797.79,66302.25,4117.73,7.5,139699.82,79355.36,38527.13,44.14,20391.42,22978.89,12134.84,1977.77,13.78,15283.33,2017-05-31
7,65475.08,24887.63,12715.76,8202.88,6677.33,658.6,3407.68,77268.89,5806.25,5.28,122435.08,60470.84,33036.12,42.9,21492.99,15328.38,5651.67,1580.59,14.96,28046.75,2017-06-30
8,48383.36,34848.18,9090.2,8576.8,4948.27,381.94,2041.38,80024.43,5551.17,6.07,92672.47,79726.32,44013.91,47.71,24941.26,16089.16,7945.93,3182.56,14.33,21148.5,2017-07-30
9,54553.24,32912.61,10413.97,8868.67,3437.54,487.14,1653.07,80020.9,4223.18,6.55,108393.91,54497.04,33470.18,49.65,27084.41,15709.09,10054.05,2126.48,11.99,17762.97,2017-08-29
10,45710.81,27664.38,8460.16,8233.14,6639.87,439.6,3435.55,85294.18,5903.42,6.5,99911.74,69067.96,36434.22,37.79,25216.33,11934.53,8174.34,2045.43,17.41,14640.7,2017-09-28
11,62173.88,28494.51,11665.59,5522.96,3749.15,401.27,2939.91,69306.7,4657.38,5.21,117574.87,83815.2,25261.55,51.34,26245.54,22795.41,5220.28,3119.95,14.9,18527.69,2017-10-28
12,72734.12,32099.71,8344.85,6592.97,4399.48,329.32,2512.02,68808.28,5232.67,7.62,145163.01,85534.89,44535.46,38.76,22743.01,20664.14,6146.29,1352.09,13.48,28191.95,2017-11-27
13,75389.42,21947.54,7404.52,6760.06,3585.71,681.85,3099.95,62332.81,5540.83,7.05,128494.51,78194.92,28219.98,38.74,17496.39,12013.35,5183.04,2790.4,13.75,21659.04,2017-12-27
14,84505.15,26820.33,12792.0,8574.78,4443.75,569.3,1680.11,71646.61,5832.66,6.45,137483.23,56213.45,29724.05,34.61,22951.8,19577.75,6533.37,2316.65,13.25,28033.81,2018-01-26
15,47624.74,32436.35,9952.56,8671.7,3999.15,406.21,2268.81,67130.62,5836.55,5.91,159709.49,61762.94,32104.22,49.52,28111.91,24930.11,8466.52,2083.67,9.37,15715.1,2018-02-25
16,84573.62,25442.71,8375.66,6810.06,6373.29,476.43,2653.3,64164.33,3966.42,6.53,155504.08,56678.31,25839.93,36.48,25952.37,11548.56,9010.47,3421.33,15.1,24809.47,2018-03-27
17,46362.6,37336.99,12496.43,6093.07,5831.15,671.86,2868.09,64551.6,5451.81,7.17,142241.39,84860.65,30740.56,37.08,19008.64,22068.34,12757.69,1681.89,15.94,18327.2,2018-04-26
18,54970.36,22829.54,10891.54,8490.43,4226.46,667.69,2318.23,88398.39,4624.32,5.64,141325.99,60634.36,29766.12,34.36,25858.46,24584.39,8002.27,2893.7,13.62,29835.22,2018-05-26
19,88768.54,36962.95,10755.93,6640.31,4939.49,542.28,3244.93,63375.68,5627.89,5.93,135644.85,60121.57,44121.4,45.06,18501.65,23468.38,6759.74,2819.78,10.99,12403.95,2018-06-25
20,59182.04,39400.69,10514.97,6670.32,5755.45,375.98,2999.08,84260.74,3586.77,7.76,98385.08,85160.43,35182.5,49.77,23653.28,18656.46,8203.09,1593.77,11.81,19188.59,2018-07-25
21,73916.6,39211.33,12899.92,5182.71,3684.77,362.27,2578.84,86225.89,4290.34,6.7,112932.75,58573.08,40714.72,40.57,17165.11,23154.42,5275.75,3160.55,9.75,22901.01,2018-08-24
22,75936.4,36968.34,8882.33,7781.8,5152.19,583.95,2039.28,80383.74,5881.66,5.43,113343.36,73632.12,35473.78,41.79,25216.52,11953.39,13856.61,1685.32,11.15,21437.62,2018-09-23
23,46273.75,32185.92,10098.96,8987.85,5712.5,566.34,2905.31,88959.8,4839.51,5.69,104425.86,88440.98,44668.67,40.81,17944.57,24709.12,8953.58,3042.49,12.92,26674.91,2018-10-23
24,77347.98,34761.05,11770.11,7906.81,6617.61,304.88,2873.45,67866.78,4096.76,6.17,100652.73,68923.31,26579.23,37.8,28330.55,15378.37,5370.38,2243.09,16.68,24622.13,2018-11-22
