venda_id,produto_id,quantidade_vendida,preco_unitario_venda,data_venda,cliente_id
1,4,596,34.87,2017-06-25,13
2,1,1139,51.52,2017-03-29,2
3,2,737,51.89,2018-03-24,12
4,4,906,62.43,2018-04-16,1
5,2,533,38.09,2018-05-29,12
6,3,919,38.45,2018-05-17,8
7,4,869,36.09,2020-02-28,9
8,4,402,63.76,2020-04-07,14
9,5,778,32.17,2017-07-22,8
10,3,1147,56.93,2018-06-27,2
11,2,905,34.34,2019-10-12,5
12,2,500,36.7,2017-07-02,8
13,2,420,44.66,2018-04-13,12
14,3,674,47.89,2020-02-23,5
15,3,1137,33.37,2019-02-22,10
16,2,815,40.38,2020-10-09,3
17,2,614,37.23,2020-04-05,6
18,3,778,52.2,2020-07-29,14
19,1,1113,64.59,2017-03-07,8
20,5,848,55.69,2019-07-27,7
21,2,830,31.96,2020-08-30,3
22,3,521,42.76,2019-11-07,9
23,2,753,49.36,2018-04-01,4
24,4,788,62.61,2020-09-01,6
25,5,876,44.25,2017-02-01,10
26,2,958,55.26,2018-12-15,8
27,3,528,37.83,2020-01-27,12
28,5,562,28.72,2017-06-02,10
29,4,787,38.64,2020-01-29,3
30,2,409,42.35,2019-09-24,4
31,2,638,57.29,2019-12-04,10
32,4,779,32.59,2019-10-21,13
33,2,612,35.59,2019-02-07,13
34,3,1197,55.52,2020-04-15,6
35,1,1168,49.81,2017-04-16,1
36,4,751,41.73,2018-11-22,11
37,4,1007,29.27,2020-03-16,3
38,5,1035,61.33,2018-09-17,10
39,1,898,59.2,2020-10-21,1
40,4,1156,33.08,2017-07-03,13
