lancamento_id,conta_id,data_lancamento,valor,descricao
1,7,2021-01-01,9737.72,Pagamento energia
2,12,2021-01-16,2828.37,Compra de materiais
3,3,2021-01-31,11951.53,Pagamento manutenção
4,5,2021-02-15,13767.95,Pagamento manutenção
5,6,2021-03-02,11671.67,Compra de materiais
6,1,2021-03-17,10519.9,Receita venda produto
7,12,2021-04-01,13222.75,Pagamento energia
8,5,2021-04-16,12911.61,Pagamentos salários
9,5,2021-05-01,14234.31,Receita venda produto
10,4,2021-05-16,4319.92,Compra de materiais
11,11,2021-05-31,17617.62,Pagamento manutenção
12,10,2021-06-15,3358.72,Pagamentos salários
13,4,2021-06-30,18944.42,Pagamento energia
14,1,2021-07-15,6568.46,Pagamento manutenção
15,5,2021-07-30,10794.19,Pagamento manutenção
16,5,2021-08-14,5186.13,Pagamento manutenção
17,11,2021-08-29,9188.62,Pagamento manutenção
18,3,2021-09-13,1434.58,Compra de materiais
19,10,2021-09-28,9779.85,Pagamentos salários
20,11,2021-10-13,5888.88,Receita venda produto
21,10,2021-10-28,17968.11,Pagamentos salários
22,2,2021-11-12,12701.14,Compra de materiais
23,3,2021-11-27,2647.12,Pagamento energia
24,11,2021-12-12,13244.12,Pagamentos salários
25,5,2021-12-27,11846.07,Pagamento energia
26,8,2022-01-11,11078.12,Compra de materiais
27,8,2022-01-26,18224.12,Compra de materiais
28,3,2022-02-10,5851.32,Receita venda produto
29,7,2022-02-25,6553.44,Pagamento manutenção
30,6,2022-03-12,4019.92,Pagamentos salários
31,10,2022-03-27,14661.87,Compra de materiais
32,6,2022-04-11,8127.28,Pagamento energia
33,6,2022-04-26,1143.04,Compra de materiais
34,3,2022-05-11,15307.17,Pagamentos salários
35,2,2022-05-26,15659.73,Pagamentos salários
36,2,2022-06-10,2776.22,Compra de materiais
37,5,2022-06-25,9991.92,Compra de materiais
38,10,2022-07-10,19698.73,Compra de materiais
39,2,2022-07-25,2588.83,Pagamento energia
40,1,2022-08-09,19355.91,Compra de materiais
41,2,2022-08-24,5521.44,Pagamentos salários
42,12,2022-09-08,2503.12,Pagamentos salários
43,1,2022-09-23,6425.82,Pagamento energia
44,12,2022-10-08,5243.76,Pagamentos salários
45,8,2022-10-23,6509.17,Pagamentos salários
46,9,2022-11-07,4303.5,Pagamentos salários
47,8,2022-11-22,16498.25,Receita venda produto
48,2,2022-12-07,15339.86,Pagamento energia
49,5,2022-12-22,1325.0,Receita venda produto
50,8,2023-01-06,10728.59,Pagamento manutenção
51,12,2023-01-21,17643.3,Pagamento manutenção
52,5,2023-02-05,19024.35,Receita venda produto
53,10,2023-02-20,15401.01,Pagamentos salários
54,3,2023-03-07,18242.21,Pagamentos salários
55,6,2023-03-22,5653.52,Pagamento manutenção
56,8,2023-04-06,5578.54,Receita venda produto
57,7,2023-04-21,19860.15,Pagamento manutenção
58,3,2023-05-06,17104.65,Receita venda produto
59,9,2023-05-21,18099.53,Pagamento manutenção
60,4,2023-06-05,2619.95,Receita venda produto
61,6,2023-06-20,19915.3,Pagamento energia
62,10,2023-07-05,17766.34,Compra de materiais
63,8,2023-07-20,14096.55,Pagamento energia
64,12,2023-08-04,12412.44,Pagamento manutenção
65,10,2023-08-19,4972.19,Pagamento manutenção
66,3,2023-09-03,7241.2,Pagamento manutenção
67,4,2023-09-18,7651.15,Pagamentos salários
68,10,2023-10-03,11296.06,Pagamentos salários
69,6,2023-10-18,4206.26,Compra de materiais
70,1,2023-11-02,14579.22,Pagamentos salários
71,11,2023-11-17,10618.25,Receita venda produto
72,3,2023-12-02,9744.05,Pagamento energia
73,10,2023-12-17,7004.35,Receita venda produto
74,1,2024-01-01,16115.71,Pagamento energia
75,12,2024-01-16,14457.19,Pagamentos salários
76,2,2024-01-31,1168.93,Pagamento energia
77,6,2024-02-15,7459.41,Pagamentos salários
78,12,2024-03-01,6550.4,Pagamento energia
79,2,2024-03-16,896.15,Compra de materiais
80,7,2024-03-31,5330.09,Compra de materiais
81,6,2024-04-15,1861.75,Pagamento manutenção
82,2,2024-04-30,13971.66,Pagamentos salários
83,11,2024-05-15,11012.05,Compra de materiais
84,9,2024-05-30,14463.21,Compra de materiais
85,8,2024-06-14,7265.18,Pagamento energia
86,2,2024-06-29,4978.74,Pagamento energia
87,5,2024-07-14,1345.68,Compra de materiais
88,12,2024-07-29,4906.62,Compra de materiais
89,11,2024-08-13,15030.75,Pagamentos salários
90,5,2024-08-28,4201.51,Compra de materiais
91,4,2024-09-12,8746.26,Compra de materiais
92,11,2024-09-27,17540.77,Pagamentos salários
93,2,2024-10-12,2576.62,Pagamento energia
94,2,2024-10-27,3576.71,Receita venda produto
95,11,2024-11-11,10935.47,Receita venda produto
96,8,2024-11-26,18531.34,Compra de materiais
97,4,2024-12-11,11940.86,Pagamentos salários
98,3,2024-12-26,1749.14,Pagamento energia
99,5,2025-01-10,8852.89,Receita venda produto
100,6,2025-01-25,10557.63,Pagamento manutenção
