consumo_id,registro_id,material_id,lote_material_id,quantidade_consumida,data_registro
1,527,9,7,24.71,2015-08-21
2,576,9,78,11.74,2015-10-28
3,437,3,22,23.89,2016-06-12
4,424,1,8,10.95,2015-11-06
5,625,5,94,31.65,2016-12-20
6,287,10,54,1.33,2015-02-23
7,631,5,92,43.38,2016-04-02
8,267,10,100,12.94,2016-12-26
9,508,9,66,28.85,2016-03-18
10,176,10,82,47.46,2016-10-29
11,526,2,41,9.93,2015-05-07
12,89,7,55,16.44,2016-12-11
13,208,5,62,45.42,2016-10-07
14,486,1,57,27.76,2016-03-06
15,128,7,92,18.92,2016-07-23
16,221,9,31,4.72,2016-01-19
17,905,8,11,24.02,2016-02-21
18,198,2,96,41.89,2015-08-26
19,917,6,2,26.28,2015-12-07
20,86,3,49,14.26,2016-06-20
21,112,5,14,28.62,2015-05-10
22,733,7,61,16.59,2016-09-03
23,458,5,71,20.74,2015-06-08
24,397,5,84,20.05,2016-05-11
25,557,5,79,27.99,2016-03-17
26,467,6,54,23.76,2016-04-12
27,459,1,32,0.52,2016-10-06
28,582,4,40,2.14,2016-02-17
29,623,2,67,12.28,2015-12-08
30,228,10,4,19.47,2015-12-17
31,476,3,71,9.42,2016-05-26
32,872,3,56,46.83,2016-04-27
33,446,9,6,23.96,2016-07-19
34,31,2,53,45.48,2016-10-08
35,133,10,93,28.97,2015-06-20
36,580,6,93,28.67,2015-06-08
37,823,9,9,14.35,2015-10-01
38,630,7,19,38.67,2016-01-02
39,907,3,33,26.78,2016-10-11
40,57,8,32,34.09,2016-08-07
41,711,9,17,9.74,2015-07-02
42,50,3,92,3.48,2015-09-21
43,327,7,21,28.65,2016-02-19
44,200,6,14,3.61,2016-06-30
45,636,9,98,18.43,2015-03-18
46,677,1,58,40.43,2016-05-28
47,803,4,96,13.12,2016-07-03
48,821,10,32,33.71,2016-06-22
49,417,1,87,12.71,2015-12-18
50,188,6,51,7.68,2015-12-30
51,810,1,75,46.41,2016-10-29
52,281,7,76,49.66,2016-01-09
53,329,3,17,17.25,2015-09-22
54,32,2,67,34.32,2016-05-25
