id,nome,disponibilidade,performance,qualidade,oee,taxa_producao,capacidade_producao,eficiencia_linha,produtividade_mao_obra,data_registro
1,Equipamento Solda por Refusao,0.84,0.79,0.95,0.87,71.36,84.79,0.9,0.73,2015-01-01 00:00:00
2,Equipamento Solda por Onda,0.84,0.9,0.93,0.76,77.72,95.49,0.87,0.88,2015-01-01 01:00:00
3,Testador Circuito SMT,0.87,0.91,0.91,0.88,70.96,103.01,0.93,0.77,2015-01-01 02:00:00
4,Scanner AOI,0.89,0.88,0.96,0.86,76.2,107.28,0.85,0.72,2015-01-01 03:00:00
5,Medidor Corrente,0.93,0.81,0.95,0.88,74.95,81.56,0.82,0.86,2015-01-01 04:00:00
6,Testador Circuito SMT,0.95,0.79,0.91,0.86,86.53,82.22,0.82,0.71,2015-01-01 05:00:00
7,Equipamento Solda por Onda,0.87,0.92,0.96,0.83,74.05,118.81,0.86,0.86,2015-01-01 06:00:00
8,Calibrador Robos,0.91,0.88,0.99,0.84,97.27,105.62,0.9,0.74,2015-01-01 07:00:00
9,Scanner AOI,0.86,0.89,0.92,0.76,90.37,99.58,0.84,0.77,2015-01-01 08:00:00
10,Testador Circuito SMT,0.81,0.85,0.95,0.76,82.17,100.12,0.9,0.7,2015-01-01 09:00:00
11,Equipamento Solda por Onda,0.92,0.91,0.97,0.82,75.22,110.98,0.84,0.82,2015-01-01 10:00:00
12,Medidor Corrente,0.91,0.75,0.97,0.76,98.1,111.33,0.84,0.79,2015-01-01 11:00:00
13,Inspetor Visual Otico,0.8,0.81,0.95,0.79,85.58,112.57,0.89,0.76,2015-01-01 12:00:00
14,Medidor Corrente,0.93,0.88,0.95,0.8,91.53,84.38,0.94,0.76,2015-01-01 13:00:00
15,Scanner AOI,0.83,0.8,0.94,0.87,70.74,103.31,0.9,0.71,2015-01-01 14:00:00
16,Inspetor Visual Otico,0.9,0.87,0.96,0.83,99.42,88.88,0.86,0.73,2015-01-01 15:00:00
17,Inspetor Visual Otico,0.89,0.76,0.91,0.88,82.01,101.57,0.88,0.83,2015-01-01 16:00:00
18,Inspetor Visual Otico,0.89,0.82,0.97,0.78,77.28,81.19,0.82,0.8,2015-01-01 17:00:00
19,Equipamento Solda por Onda,0.89,0.87,0.9,0.76,71.22,96.58,0.95,0.88,2015-01-01 18:00:00
