parada_id,maquina_id,hora_inicio_parada,hora_fim_parada,motivo_parada,data_registro
1,3,2015-02-02 02:41:00,2015-02-02 03:51:00,falha_mecanica,2015-02-02 02:41:00
2,3,2015-06-05 21:56:00,2015-06-05 23:20:00,ajuste_operador,2015-06-05 21:56:00
3,2,2016-07-03 11:48:00,2016-07-03 13:37:00,falha_eletrica,2016-07-03 11:48:00
4,1,2015-02-23 10:44:00,2015-02-23 11:59:00,falha_mecanica,2015-02-23 10:44:00
5,2,2016-03-13 01:19:00,2016-03-13 02:47:00,manutencao_preventiva,2016-03-13 01:19:00
6,3,2016-11-24 09:17:00,2016-11-24 10:11:00,falha_mecanica,2016-11-24 09:17:00
7,2,2016-04-21 20:17:00,2016-04-21 22:08:00,falha_mecanica,2016-04-21 20:17:00
8,4,2016-10-26 23:57:00,2016-10-27 02:19:00,manutencao_preventiva,2016-10-26 23:57:00
9,2,2015-01-08 23:58:00,2015-01-09 02:50:00,ajuste_operador,2015-01-08 23:58:00
10,1,2015-09-23 23:09:00,2015-09-24 00:40:00,falha_eletrica,2015-09-23 23:09:00
11,1,2015-02-13 06:46:00,2015-02-13 07:54:00,falha_eletrica,2015-02-13 06:46:00
12,2,2016-07-30 18:06:00,2016-07-30 19:23:00,ajuste_operador,2016-07-30 18:06:00
13,1,2015-08-22 17:24:00,2015-08-22 20:02:00,falha_mecanica,2015-08-22 17:24:00
14,4,2016-10-30 16:14:00,2016-10-30 19:11:00,falha_mecanica,2016-10-30 16:14:00
15,3,2016-07-14 02:48:00,2016-07-14 05:18:00,ajuste_operador,2016-07-14 02:48:00
16,4,2016-01-19 18:03:00,2016-01-19 19:39:00,falha_eletrica,2016-01-19 18:03:00
17,1,2016-06-24 15:10:00,2016-06-24 16:34:00,falha_eletrica,2016-06-24 15:10:00
18,1,2016-02-14 17:02:00,2016-02-14 17:20:00,ajuste_operador,2016-02-14 17:02:00
19,2,2015-07-27 13:28:00,2015-07-27 13:41:00,manutencao_preventiva,2015-07-27 13:28:00
20,4,2016-05-03 10:42:00,2016-05-03 12:34:00,falha_mecanica,2016-05-03 10:42:00
21,3,2015-07-23 12:11:00,2015-07-23 14:16:00,ajuste_operador,2015-07-23 12:11:00
22,4,2015-12-12 04:19:00,2015-12-12 06:18:00,manutencao_preventiva,2015-12-12 04:19:00
23,4,2016-05-24 00:00:00,2016-05-24 00:19:00,falha_eletrica,2016-05-24 00:00:00
24,4,2016-12-26 23:10:00,2016-12-26 23:36:00,falha_eletrica,2016-12-26 23:10:00
25,4,2015-09-25 10:26:00,2015-09-25 11:33:00,ajuste_operador,2015-09-25 10:26:00
26,3,2015-07-17 07:16:00,2015-07-17 07:28:00,falha_eletrica,2015-07-17 07:16:00
27,3,2015-04-13 09:04:00,2015-04-13 11:56:00,falha_eletrica,2015-04-13 09:04:00
28,3,2015-06-25 13:24:00,2015-06-25 15:21:00,manutencao_preventiva,2015-06-25 13:24:00
29,4,2015-04-07 08:37:00,2015-04-07 09:08:00,manutencao_preventiva,2015-04-07 08:37:00
30,3,2016-03-05 03:08:00,2016-03-05 03:42:00,manutencao_preventiva,2016-03-05 03:08:00
31,4,2016-03-26 14:35:00,2016-03-26 15:36:00,manutencao_preventiva,2016-03-26 14:35:00
32,4,2015-11-05 02:15:00,2015-11-05 03:55:00,falha_mecanica,2015-11-05 02:15:00
