lote_producao_id,ordem_producao_id,data_lote,quantidade_total
1,113,2020-12-04,938
2,179,2020-08-10,941
3,105,2018-10-25,872
4,92,2018-05-10,898
5,170,2017-04-15,942
6,94,2017-07-15,866
7,73,2019-12-05,906
8,3,2017-11-03,881
9,157,2018-03-02,975
10,96,2018-01-26,990
11,135,2018-04-20,908
12,53,2020-06-11,940
13,62,2020-03-20,911
14,22,2018-03-08,951
15,6,2017-10-13,875
16,154,2019-05-11,952
17,94,2017-01-08,928
18,18,2019-01-05,874
19,188,2018-01-21,955
20,60,2018-06-14,971
21,26,2017-04-14,882
22,131,2017-12-24,860
23,133,2020-05-03,964
24,185,2020-05-25,898
25,8,2019-11-09,989
26,115,2017-06-22,880
27,170,2019-09-30,837
28,166,2017-01-03,914
29,146,2017-10-20,852
30,24,2020-05-14,853
31,100,2017-11-08,935
32,30,2017-11-15,947
33,25,2020-04-03,998
34,177,2017-04-03,840
35,13,2018-07-13,938
36,27,2019-04-20,875
37,85,2018-10-10,903
38,80,2019-09-04,941
39,150,2017-10-25,906
40,86,2017-01-11,921
41,120,2017-03-28,920
42,75,2018-06-15,896
43,29,2017-05-21,927
44,120,2017-05-28,932
45,60,2018-10-22,822
46,73,2017-06-24,950
47,100,2017-06-23,825
48,58,2019-12-16,904
49,81,2019-12-06,860
50,127,2019-03-10,833
51,153,2018-08-10,913
52,103,2017-05-01,867
53,117,2020-07-13,803
54,22,2020-08-08,813
55,188,2017-03-01,864
56,12,2020-08-23,835
57,52,2018-08-01,817
58,134,2018-10-06,859
59,119,2019-06-23,824
60,147,2019-06-18,996
61,29,2019-01-07,871
62,171,2020-02-21,901
63,21,2017-04-06,922
64,190,2019-02-10,959
65,186,2018-09-19,924
66,15,2017-11-24,986
67,31,2018-08-16,953
68,121,2020-09-16,985
69,83,2019-04-24,908
70,96,2017-12-12,833
71,89,2017-11-15,944
72,96,2017-07-20,939
73,87,2018-11-29,831
74,19,2020-10-13,853
75,24,2019-06-14,874
76,95,2018-05-18,980
77,176,2019-02-28,881
78,147,2019-08-19,978
79,16,2020-05-21,843
80,84,2017-01-18,867
81,58,2017-09-03,814
82,80,2019-03-30,986
83,146,2017-10-25,981
84,18,2019-09-01,921
85,168,2017-07-03,979
86,83,2018-01-24,803
87,194,2018-01-29,971
88,111,2019-06-19,883
89,70,2017-01-18,900
90,4,2018-05-14,897
91,62,2018-10-29,852
92,8,2020-03-16,938
93,78,2018-04-20,857
94,115,2018-01-17,929
95,12,2019-11-13,817
96,112,2020-09-03,899
97,75,2020-05-23,835
98,124,2018-11-06,934
99,55,2018-04-13,860
100,188,2019-01-23,885
101,70,2020-11-28,977
102,1,2020-02-23,924
103,149,2018-10-24,974
104,52,2018-06-18,988
105,46,2019-05-17,845
106,152,2020-08-07,878
107,89,2020-12-06,804
108,110,2019-12-31,867
109,69,2020-09-11,892
110,189,2019-01-21,815
111,76,2018-01-29,856
112,17,2020-04-25,838
113,27,2017-06-27,959
114,62,2018-03-24,916
115,21,2017-10-15,867
116,130,2017-04-13,850
117,11,2019-03-07,894
118,85,2018-01-31,923
119,183,2020-11-24,850
120,142,2018-05-21,878
121,17,2018-05-31,972
122,178,2019-04-25,960
123,125,2020-04-24,843
124,86,2017-11-04,811
125,111,2017-03-09,984
126,71,2017-07-13,965
127,103,2017-09-05,950
128,52,2019-04-15,991
129,33,2017-08-17,936
130,69,2020-10-22,940
131,183,2018-08-09,977
132,147,2020-02-01,821
133,122,2020-06-11,822
134,132,2018-01-05,815
135,69,2017-09-29,899
136,100,2018-11-30,871
137,112,2018-06-01,835
138,22,2018-06-15,847
139,22,2020-05-11,901
140,74,2019-05-27,803
141,163,2017-11-20,985
142,182,2019-08-15,899
143,127,2019-04-07,988
144,21,2020-08-18,916
145,44,2020-01-24,937
146,149,2020-04-18,815
147,83,2019-07-20,816
148,159,2018-11-28,989
149,126,2017-09-05,990
150,78,2018-11-24,933
151,123,2019-06-26,929
152,76,2017-03-24,949
153,32,2017-06-04,803
154,159,2017-02-03,907
155,108,2017-01-18,964
156,57,2020-11-20,834
157,20,2019-11-10,814
158,122,2019-07-29,824
159,121,2018-05-07,948
160,16,2017-11-05,808
161,70,2017-12-06,832
162,77,2019-01-11,932
163,99,2019-02-03,924
164,54,2018-02-04,918
165,174,2018-01-18,841
166,139,2018-09-23,958
167,171,2020-05-28,807
168,159,2020-09-30,925
169,170,2020-11-04,942
170,135,2019-10-08,956
171,12,2019-04-22,931
172,107,2017-08-10,981
173,29,2018-01-23,818
174,138,2018-09-11,987
175,168,2018-12-03,937
176,121,2017-05-14,831
177,33,2017-10-07,921
178,13,2018-02-23,978
179,178,2017-10-31,846
180,138,2018-03-11,897
181,52,2017-01-18,833
182,22,2017-01-30,861
183,157,2017-09-28,897
184,165,2019-05-01,978
185,77,2018-05-14,836
186,166,2019-03-02,909
187,26,2020-09-08,877
188,152,2019-11-26,941
189,199,2017-09-08,837
190,35,2018-12-02,883
191,66,2020-10-11,951
192,137,2018-04-09,954
193,142,2019-08-15,928
194,48,2017-02-13,845
195,80,2018-11-22,992
196,111,2019-01-02,854
197,156,2018-03-18,842
198,160,2020-09-29,849
199,162,2020-11-18,928
200,166,2019-07-20,800
