ordem_producao_id,produto_id,quantidade_planejada,data_planejamento,data_inicio_real,data_fim_real,status_ordem
1,5,942,2017-09-22,2017-05-23,2020-10-30,Planejada
2,5,873,2019-08-20,2019-02-14,2017-01-11,Cancelada
3,2,822,2019-06-10,2019-12-21,2018-09-27,Completa
4,4,879,2017-07-30,2019-07-05,2019-08-21,Completa
5,4,830,2017-01-25,2017-11-19,2020-08-20,Cancelada
6,4,975,2018-03-27,2020-05-24,2020-11-22,Cancelada
7,3,884,2019-03-23,2019-03-21,2018-02-09,Emproducao
8,2,978,2018-07-25,2018-10-01,2017-12-26,Emproducao
9,1,831,2018-08-17,2020-03-25,2018-06-12,Emproducao
10,1,998,2020-09-23,2017-08-10,2018-12-29,Emproducao
11,2,997,2019-06-25,2018-11-28,2017-09-17,Cancelada
12,1,830,2018-02-14,2019-04-15,2017-04-08,Completa
13,5,820,2018-06-08,2017-08-29,2017-11-29,Emproducao
14,3,810,2020-04-01,2020-12-13,2019-07-21,Completa
15,5,989,2020-08-17,2019-03-21,2020-08-29,Emproducao
16,5,812,2020-03-11,2019-04-03,2018-12-20,Completa
17,2,885,2019-12-11,2020-07-05,2019-09-09,Cancelada
18,4,882,2019-06-11,2017-07-25,2018-12-02,Cancelada
19,4,993,2019-01-20,2019-06-26,2020-03-08,Completa
20,3,809,2020-07-28,2018-07-06,2017-07-04,Completa
21,1,841,2017-12-21,2018-02-05,2019-06-20,Emproducao
22,5,901,2019-09-11,2017-03-12,2018-02-07,Cancelada
23,4,817,2018-08-20,2019-04-08,2020-12-04,Completa
24,4,917,2019-12-14,2017-07-08,2020-02-24,Completa
25,3,924,2018-11-25,2017-01-05,2018-04-01,Cancelada
26,2,936,2019-08-29,2018-05-03,2017-11-14,Completa
27,2,860,2019-10-14,2018-02-20,2018-08-24,Planejada
28,2,809,2018-01-20,2017-04-15,2018-12-18,Emproducao
29,5,863,2018-04-01,2019-01-25,2018-07-21,Completa
30,5,868,2020-06-11,2019-06-09,2019-12-26,Cancelada
31,3,851,2018-08-09,2017-04-17,2019-12-12,Emproducao
32,3,848,2018-03-13,2018-05-01,2018-02-08,Completa
33,5,877,2017-07-17,2020-09-13,2020-09-28,Planejada
34,4,958,2019-09-30,2018-12-23,2018-06-07,Cancelada
35,5,931,2019-11-24,2019-04-02,2020-07-12,Completa
36,5,903,2019-10-29,2018-02-23,2017-05-27,Cancelada
37,3,804,2019-09-25,2020-02-24,2017-05-30,Cancelada
38,1,974,2020-11-22,2019-02-07,2020-03-04,Emproducao
39,1,976,2019-11-09,2019-08-13,2019-11-26,Emproducao
40,5,842,2018-03-31,2017-05-06,2019-02-02,Planejada
41,2,853,2018-06-01,2017-06-10,2017-04-19,Emproducao
42,5,852,2020-07-08,2019-09-12,2019-07-23,Completa
43,2,918,2017-10-14,2018-04-29,2018-12-13,Emproducao
44,5,918,2019-02-01,2020-02-25,2019-07-04,Completa
45,3,992,2019-06-07,2018-02-18,2019-04-06,Planejada
46,1,963,2019-05-09,2017-03-31,2017-07-22,Cancelada
47,2,835,2018-11-21,2018-07-31,2017-07-03,Emproducao
48,1,977,2019-02-20,2020-05-07,2018-12-19,Emproducao
49,1,879,2018-09-15,2019-06-19,2018-04-29,Emproducao
50,5,834,2019-03-31,2018-09-02,2018-08-26,Emproducao
51,3,857,2019-06-22,2018-02-25,2020-10-07,Cancelada
52,4,876,2018-01-16,2017-12-12,2019-02-02,Completa
53,3,954,2019-01-25,2019-04-13,2019-05-22,Planejada
54,4,894,2020-02-23,2019-07-20,2017-03-18,Completa
55,4,817,2017-03-24,2018-06-12,2017-03-06,Cancelada
56,4,831,2019-01-21,2018-11-18,2019-10-24,Planejada
57,5,944,2018-08-25,2020-09-14,2017-09-08,Planejada
58,4,809,2017-03-09,2018-03-12,2019-05-31,Cancelada
59,4,920,2020-11-18,2017-09-17,2019-04-28,Planejada
60,2,965,2017-07-08,2020-08-16,2019-04-28,Emproducao
61,5,954,2019-06-29,2020-10-08,2019-02-22,Cancelada
62,5,991,2017-06-20,2019-10-16,2020-02-01,Completa
63,1,885,2018-05-11,2019-12-22,2017-03-28,Cancelada
64,5,862,2019-08-21,2019-01-14,2020-04-22,Emproducao
65,4,838,2018-03-02,2018-06-19,2017-11-29,Cancelada
66,4,966,2020-04-11,2020-06-10,2020-03-13,Emproducao
67,5,990,2017-02-14,2017-05-01,2017-07-29,Cancelada
68,4,992,2020-10-23,2017-09-05,2018-01-23,Completa
69,4,861,2018-09-08,2017-02-16,2019-11-24,Completa
70,1,834,2019-11-08,2019-08-25,2020-04-29,Planejada
71,3,885,2017-10-12,2018-12-02,2019-05-20,Emproducao
72,4,811,2019-04-03,2017-04-15,2017-01-20,Planejada
73,1,933,2020-08-03,2020-07-12,2018-05-27,Emproducao
74,1,878,2019-04-19,2019-02-24,2019-07-29,Emproducao
75,3,871,2020-03-03,2018-05-13,2017-04-21,Completa
76,2,947,2020-07-15,2020-10-22,2017-12-12,Planejada
77,3,816,2020-12-05,2017-05-26,2017-09-29,Planejada
78,2,849,2019-03-25,2017-06-06,2017-12-10,Planejada
79,5,989,2019-04-19,2020-10-26,2019-06-20,Completa
80,3,870,2017-03-12,2020-10-31,2020-02-09,Cancelada
81,5,838,2020-11-30,2017-11-19,2017-03-19,Cancelada
82,4,924,2019-12-12,2017-07-12,2020-04-29,Emproducao
83,4,980,2020-05-12,2019-11-03,2018-07-20,Cancelada
84,2,861,2019-03-15,2020-05-07,2020-06-09,Planejada
85,1,944,2017-10-26,2019-05-05,2019-05-16,Emproducao
86,1,974,2019-09-21,2018-08-21,2018-12-18,Cancelada
87,1,818,2017-08-21,2017-05-03,2020-12-19,Emproducao
88,2,962,2018-10-30,2020-04-25,2019-11-02,Completa
89,1,987,2020-05-23,2020-11-23,2018-12-28,Planejada
90,2,913,2019-05-08,2017-03-07,2019-09-24,Completa
91,3,932,2020-04-30,2019-03-14,2018-05-07,Planejada
92,2,842,2018-02-10,2018-09-10,2018-02-10,Completa
93,1,932,2017-12-05,2020-01-14,2017-02-21,Emproducao
94,5,806,2019-08-16,2017-01-09,2019-06-18,Cancelada
95,4,813,2017-07-14,2019-02-05,2019-04-19,Emproducao
96,5,993,2018-07-29,2019-09-27,2018-04-26,Planejada
97,2,878,2019-04-21,2018-11-01,2019-01-04,Cancelada
98,2,935,2020-06-20,2017-12-30,2017-12-28,Cancelada
99,2,946,2018-06-24,2018-04-28,2017-11-20,Planejada
100,5,892,2019-01-26,2017-03-13,2020-10-31,Emproducao
101,2,885,2019-01-23,2018-11-02,2018-01-16,Completa
102,1,998,2019-12-12,2018-06-28,2018-06-24,Planejada
103,1,914,2018-01-18,2019-05-12,2019-08-19,Emproducao
104,3,992,2019-04-27,2017-10-04,2020-10-02,Planejada
105,2,853,2019-03-16,2020-04-20,2019-08-04,Planejada
106,1,833,2020-04-27,2018-11-11,2018-04-16,Planejada
107,1,868,2018-02-23,2017-09-15,2017-10-13,Cancelada
108,3,908,2017-10-26,2018-04-08,2020-05-24,Completa
109,5,909,2020-04-13,2018-09-05,2018-02-12,Completa
110,5,930,2018-09-02,2018-01-15,2019-02-02,Completa
111,3,861,2019-01-05,2019-02-13,2018-06-19,Completa
112,5,948,2018-08-29,2017-12-17,2019-01-04,Cancelada
113,4,970,2020-08-28,2018-07-25,2018-02-07,Planejada
114,3,952,2018-06-26,2020-04-18,2018-12-10,Planejada
115,4,987,2017-11-20,2017-04-02,2017-03-21,Cancelada
116,3,996,2020-09-04,2017-02-16,2019-08-29,Completa
117,3,990,2018-02-19,2017-02-06,2018-10-18,Completa
118,3,945,2019-09-23,2017-06-23,2017-02-02,Cancelada
119,1,990,2019-02-25,2019-08-15,2019-09-14,Completa
120,5,918,2017-07-27,2018-08-15,2018-07-02,Planejada
121,4,801,2018-06-25,2019-08-20,2020-03-04,Cancelada
122,4,926,2017-06-27,2018-09-28,2017-05-03,Cancelada
123,4,916,2017-11-18,2017-04-18,2020-05-05,Emproducao
124,4,812,2018-09-09,2020-12-01,2017-08-15,Completa
125,5,819,2017-03-07,2018-11-22,2019-02-17,Emproducao
126,1,880,2017-03-22,2020-02-13,2017-10-13,Emproducao
127,3,842,2017-03-15,2020-05-15,2019-09-16,Cancelada
