controle_id,lote_producao_id,data_inspecao,inspetor_id,unidades_aprovadas,unidades_rejeitadas,motivo_rejeicao
1,5,2021-01-01,6,1134,7,bolhas_material
2,289,2021-01-02,4,1124,0,furo_incompleto
3,147,2021-01-03,6,1133,5,bolhas_material
4,2,2021-01-04,11,1186,7,cor_incorreta
5,166,2021-01-05,16,1134,0,bolhas_material
6,245,2021-01-06,8,1185,6,cor_incorreta
7,276,2021-01-07,6,1035,8,bolhas_material
8,116,2021-01-08,2,956,1,furo_incompleto
9,214,2021-01-09,15,1085,6,falha_eletrica
10,56,2021-01-10,3,1014,8,dimensao_fora
11,345,2021-01-11,8,1165,2,dimensao_fora
12,107,2021-01-12,29,1129,3,falha_superficie
13,102,2021-01-13,6,1066,2,dimensao_fora
14,222,2021-01-14,9,1007,1,falha_eletrica
15,166,2021-01-15,6,962,3,falha_superficie
16,86,2021-01-16,18,964,7,empacotamento_inadequado
17,38,2021-01-17,26,1175,3,furo_incompleto
18,342,2021-01-18,13,1175,4,dimensao_fora
19,220,2021-01-19,10,959,7,dimensao_fora
20,131,2021-01-20,10,1169,4,dimensao_fora
21,246,2021-01-21,5,1061,1,falha_superficie
22,309,2021-01-22,10,1181,2,bolhas_material
23,108,2021-01-23,3,1049,3,furo_incompleto
24,193,2021-01-24,27,1045,2,bolhas_material
25,4,2021-01-25,27,1052,5,dimensao_fora
26,73,2021-01-26,27,1121,7,falha_superficie
27,14,2021-01-27,28,1143,2,dimensao_fora
28,90,2021-01-28,4,963,5,cor_incorreta
29,281,2021-01-29,6,1083,5,falha_eletrica
30,202,2021-01-30,11,991,6,falha_eletrica
31,330,2021-01-31,20,1141,0,solda_fraca
32,288,2021-02-01,14,1037,3,solda_fraca
33,194,2021-02-02,3,982,7,dimensao_fora
34,329,2021-02-03,10,1159,6,solda_fraca
35,216,2021-02-04,17,1061,1,falha_superficie
36,67,2021-02-05,29,953,7,cor_incorreta
37,283,2021-02-06,17,1074,8,falha_eletrica
38,2,2021-02-07,3,1154,8,empacotamento_inadequado
39,120,2021-02-08,13,1198,7,falha_superficie
40,186,2021-02-09,29,964,6,furo_incompleto
41,290,2021-02-10,14,1056,3,bolhas_material
42,96,2021-02-11,19,1120,4,solda_fraca
43,115,2021-02-12,6,1061,1,falha_eletrica
44,197,2021-02-13,1,955,7,empacotamento_inadequado
45,336,2021-02-14,7,1142,5,empacotamento_inadequado
46,277,2021-02-15,10,1146,6,bolhas_material
47,230,2021-02-16,19,997,5,solda_fraca
48,215,2021-02-17,7,1172,1,empacotamento_inadequado
49,287,2021-02-18,29,1094,4,falha_superficie
50,18,2021-02-19,7,1044,9,falha_superficie
51,181,2021-02-20,20,1130,1,cor_incorreta
52,255,2021-02-21,12,1073,3,solda_fraca
53,276,2021-02-22,26,1108,0,dimensao_fora
54,253,2021-02-23,28,1152,2,empacotamento_inadequado
55,110,2021-02-24,28,1128,7,dimensao_fora
56,114,2021-02-25,14,1043,8,solda_fraca
57,254,2021-02-26,3,1077,2,solda_fraca
58,189,2021-02-27,9,1099,0,bolhas_material
59,101,2021-02-28,8,1108,3,bolhas_material
60,139,2021-03-01,15,1161,6,dimensao_fora
61,174,2021-03-02,26,1110,4,empacotamento_inadequado
62,265,2021-03-03,23,1017,3,falha_eletrica
63,64,2021-03-04,1,1062,3,bolhas_material
64,63,2021-03-05,8,986,2,furo_incompleto
65,213,2021-03-06,24,1083,0,falha_eletrica
66,204,2021-03-07,27,1101,4,dimensao_fora
67,198,2021-03-08,8,1118,0,cor_incorreta
68,17,2021-03-09,20,1093,6,bolhas_material
69,17,2021-03-10,16,1064,8,dimensao_fora
70,212,2021-03-11,11,1165,7,bolhas_material
71,250,2021-03-12,28,990,3,furo_incompleto
72,109,2021-03-13,21,1152,0,bolhas_material
73,225,2021-03-14,18,967,5,falha_superficie
74,320,2021-03-15,26,1159,4,falha_superficie
75,34,2021-03-16,29,971,5,cor_incorreta
76,290,2021-03-17,8,1184,0,falha_eletrica
77,211,2021-03-18,22,977,7,falha_superficie
78,100,2021-03-19,25,1141,2,falha_superficie
79,337,2021-03-20,9,1037,8,falha_eletrica
80,144,2021-03-21,28,1051,1,falha_eletrica
81,95,2021-03-22,2,987,8,dimensao_fora
82,279,2021-03-23,7,989,2,dimensao_fora
83,157,2021-03-24,24,1195,3,dimensao_fora
84,70,2021-03-25,11,1072,3,cor_incorreta
85,336,2021-03-26,21,991,2,solda_fraca
86,143,2021-03-27,14,1042,7,solda_fraca
87,50,2021-03-28,13,972,0,cor_incorreta
88,285,2021-03-29,9,1060,8,dimensao_fora
89,262,2021-03-30,16,1178,3,falha_superficie
90,264,2021-03-31,29,974,1,empacotamento_inadequado
91,54,2021-04-01,14,1046,3,solda_fraca
92,36,2021-04-02,21,978,7,bolhas_material
93,333,2021-04-03,17,969,5,bolhas_material
94,263,2021-04-04,26,1174,1,cor_incorreta
95,123,2021-04-05,13,1130,4,bolhas_material
96,240,2021-04-06,24,1036,1,dimensao_fora
97,308,2021-04-07,20,1140,5,bolhas_material
98,310,2021-04-08,3,1106,3,dimensao_fora
99,145,2021-04-09,20,1040,4,falha_superficie
100,89,2021-04-10,25,1006,7,dimensao_fora
101,269,2021-04-11,2,1186,7,falha_superficie
102,317,2021-04-12,12,1047,7,bolhas_material
103,93,2021-04-13,1,1174,7,cor_incorreta
104,117,2021-04-14,24,1120,6,falha_eletrica
105,38,2021-04-15,10,1084,5,dimensao_fora
106,246,2021-04-16,13,1060,3,solda_fraca
107,9,2021-04-17,29,1137,0,empacotamento_inadequado
108,118,2021-04-18,1,950,5,empacotamento_inadequado
109,240,2021-04-19,2,983,4,falha_eletrica
110,199,2021-04-20,27,1043,3,dimensao_fora
111,32,2021-04-21,27,1181,5,bolhas_material
112,177,2021-04-22,18,991,9,falha_eletrica
113,27,2021-04-23,4,973,6,cor_incorreta
114,347,2021-04-24,20,961,1,bolhas_material
115,141,2021-04-25,17,957,5,bolhas_material
116,112,2021-04-26,12,1040,8,furo_incompleto
117,177,2021-04-27,17,988,5,cor_incorreta
118,266,2021-04-28,21,1036,0,bolhas_material
119,51,2021-04-29,21,1144,9,bolhas_material
120,70,2021-04-30,19,1076,5,empacotamento_inadequado
121,147,2021-05-01,26,1159,7,empacotamento_inadequado
122,301,2021-05-02,20,1044,9,falha_superficie
123,129,2021-05-03,11,1076,0,falha_eletrica
124,346,2021-05-04,21,1118,1,solda_fraca
125,121,2021-05-05,17,1093,3,empacotamento_inadequado
126,141,2021-05-06,3,1153,1,falha_eletrica
127,212,2021-05-07,23,1199,2,solda_fraca
128,157,2021-05-08,3,993,4,falha_superficie
129,44,2021-05-09,28,1120,6,cor_incorreta
130,190,2021-05-10,23,1072,8,cor_incorreta
131,112,2021-05-11,9,1163,4,falha_eletrica
132,16,2021-05-12,3,992,7,solda_fraca
133,155,2021-05-13,1,1190,0,falha_eletrica
134,294,2021-05-14,10,1190,2,falha_superficie
135,296,2021-05-15,23,990,2,dimensao_fora
136,67,2021-05-16,6,1024,1,empacotamento_inadequado
137,136,2021-05-17,23,1088,5,falha_eletrica
138,223,2021-05-18,4,1147,5,bolhas_material
139,23,2021-05-19,19,995,4,bolhas_material
140,232,2021-05-20,16,959,6,falha_superficie
141,205,2021-05-21,4,1060,8,furo_incompleto
142,72,2021-05-22,6,1125,3,cor_incorreta
143,20,2021-05-23,18,1124,3,falha_superficie
144,89,2021-05-24,27,1158,2,falha_superficie
145,163,2021-05-25,21,1010,2,furo_incompleto
146,190,2021-05-26,11,1064,8,solda_fraca
147,138,2021-05-27,23,1060,2,bolhas_material
148,86,2021-05-28,14,969,1,falha_superficie
149,156,2021-05-29,29,1046,8,bolhas_material
150,175,2021-05-30,2,1009,4,empacotamento_inadequado
151,104,2021-05-31,20,1079,0,cor_incorreta
152,143,2021-06-01,12,952,2,dimensao_fora
153,230,2021-06-02,1,972,9,bolhas_material
154,201,2021-06-03,27,1036,2,solda_fraca
155,131,2021-06-04,24,1024,6,furo_incompleto
156,173,2021-06-05,20,1072,9,dimensao_fora
157,194,2021-06-06,26,1063,6,dimensao_fora
158,262,2021-06-07,13,1060,0,empacotamento_inadequado
159,313,2021-06-08,6,1085,4,falha_eletrica
160,91,2021-06-09,16,967,3,bolhas_material
161,199,2021-06-10,21,991,9,cor_incorreta
162,236,2021-06-11,24,1097,7,falha_superficie
163,80,2021-06-12,9,1032,1,cor_incorreta
164,349,2021-06-13,23,1017,8,falha_superficie
165,290,2021-06-14,7,1107,2,falha_eletrica
166,312,2021-06-15,9,1178,2,cor_incorreta
167,37,2021-06-16,11,1089,9,solda_fraca
168,40,2021-06-17,4,1085,8,dimensao_fora
169,310,2021-06-18,3,1135,5,cor_incorreta
170,57,2021-06-19,3,1197,5,falha_superficie
171,83,2021-06-20,11,1103,6,falha_eletrica
172,289,2021-06-21,27,1012,6,solda_fraca
173,6,2021-06-22,19,1164,4,furo_incompleto
174,243,2021-06-23,9,1164,1,falha_eletrica
175,140,2021-06-24,20,1101,5,falha_superficie
176,83,2021-06-25,23,1034,7,falha_eletrica
177,214,2021-06-26,19,992,5,cor_incorreta
178,343,2021-06-27,16,1040,0,falha_superficie
179,109,2021-06-28,10,1152,5,falha_eletrica
180,94,2021-06-29,27,967,3,bolhas_material
181,195,2021-06-30,18,1021,6,bolhas_material
182,109,2021-07-01,26,1099,6,empacotamento_inadequado
183,191,2021-07-02,29,1148,8,furo_incompleto
184,332,2021-07-03,9,1000,1,cor_incorreta
185,293,2021-07-04,12,1096,6,dimensao_fora
186,147,2021-07-05,10,1130,7,falha_eletrica
187,93,2021-07-06,18,1068,8,cor_incorreta
188,234,2021-07-07,29,1187,7,empacotamento_inadequado
189,308,2021-07-08,17,973,1,falha_superficie
190,200,2021-07-09,19,1070,1,falha_superficie
191,117,2021-07-10,18,1146,6,cor_incorreta
192,88,2021-07-11,17,1131,4,dimensao_fora
193,265,2021-07-12,13,1135,5,solda_fraca
194,162,2021-07-13,5,979,1,falha_superficie
195,316,2021-07-14,13,1001,8,cor_incorreta
196,262,2021-07-15,9,1180,6,cor_incorreta
197,86,2021-07-16,12,987,9,falha_eletrica
198,157,2021-07-17,21,1191,4,falha_superficie
199,105,2021-07-18,12,975,0,falha_eletrica
200,17,2021-07-19,14,1138,0,falha_eletrica
201,78,2021-07-20,4,1186,5,dimensao_fora
202,184,2021-07-21,11,1165,5,empacotamento_inadequado
203,213,2021-07-22,19,1134,3,solda_fraca
204,139,2021-07-23,13,982,4,bolhas_material
205,236,2021-07-24,27,1054,9,bolhas_material
206,318,2021-07-25,9,1058,8,bolhas_material
207,104,2021-07-26,12,1190,1,bolhas_material
