id,nome,disponibilidade,performance,qualidade,oee,taxa_producao,capacidade_producao,eficiencia_linha,produtividade_mao_obra,data_registro
1,Equipamento Solda por Refusao,0.97,0.91,0.96,0.96,105.74,148.74,0.98,0.91,2021-01-01 00:00:00
2,Testador Circuito SMT,0.96,0.9,0.98,0.95,128.81,134.13,0.98,0.94,2021-01-01 01:00:00
3,Testador ICT,0.9,0.91,0.99,0.91,118.44,153.61,0.97,0.93,2021-01-01 02:00:00
4,Scanner AOI,0.94,0.96,0.98,0.93,101.2,129.6,0.98,0.93,2021-01-01 03:00:00
5,AOI Automatizado,0.97,0.94,0.96,0.89,113.03,120.72,0.95,0.96,2021-01-01 04:00:00
6,AOI Automatizado,0.95,0.97,0.95,0.95,104.32,151.64,0.97,0.91,2021-01-01 05:00:00
7,AOI Automatizado,0.97,0.92,0.96,0.94,121.46,143.77,0.98,0.94,2021-01-01 06:00:00
8,Scanner AOI,0.94,0.9,0.99,0.94,104.9,138.83,0.94,0.93,2021-01-01 07:00:00
9,Equipamento Solda por Refusao,0.93,0.97,0.97,0.91,114.4,125.96,0.97,0.93,2021-01-01 08:00:00
10,Medidor Corrente,0.96,0.96,0.97,0.92,110.76,149.91,0.94,0.95,2021-01-01 09:00:00
11,Equipamento Solda por Refusao,0.94,0.92,0.97,0.92,103.42,136.44,0.95,0.97,2021-01-01 10:00:00
12,AOI Automatizado,0.99,0.98,0.99,0.92,100.03,134.77,0.93,0.95,2021-01-01 11:00:00
13,Equipamento Solda por Refusao,0.92,0.93,0.97,0.92,128.93,144.58,0.99,0.94,2021-01-01 12:00:00
14,Equipamento Solda por Refusao,0.91,0.97,0.97,0.89,114.55,157.36,0.95,0.97,2021-01-01 13:00:00
15,Scanner AOI,0.96,0.96,0.98,0.93,124.97,133.71,0.98,0.96,2021-01-01 14:00:00
16,Testador Circuito SMT,0.92,0.93,0.98,0.9,105.75,125.82,0.99,0.9,2021-01-01 15:00:00
17,Equipamento Solda por Onda,0.92,0.93,0.97,0.9,121.19,131.38,0.96,0.96,2021-01-01 16:00:00
18,Medidor Corrente,0.93,0.92,0.97,0.92,123.14,145.63,0.93,0.9,2021-01-01 17:00:00
19,Inspetor Visual Otico,0.97,0.98,0.98,0.89,100.28,150.85,0.93,0.93,2021-01-01 18:00:00
20,Inspetor Visual Otico,0.96,0.95,0.96,0.92,123.76,159.54,0.99,0.93,2021-01-01 19:00:00
21,Simulador Ambiente,0.94,0.94,0.96,0.93,114.21,141.35,0.98,0.94,2021-01-01 20:00:00
22,Testador Circuito SMT,0.98,0.95,0.99,0.93,114.85,136.32,0.94,0.92,2021-01-01 21:00:00
23,Equipamento Solda por Refusao,0.93,0.97,0.99,0.88,124.55,150.91,0.94,0.96,2021-01-01 22:00:00
