fornecedor_id,nome_fornecedor,data_registro
1,Fornecedor_1,2021-01-01
2,Fornecedor_2,2021-01-31
3,Fornecedor_3,2021-03-02
4,Fornecedor_4,2021-04-01
5,Fornecedor_5,2021-05-01
6,Fornecedor_6,2021-05-31
7,Fornecedor_7,2021-06-30
8,Fornecedor_8,2021-07-30
9,Fornecedor_9,2021-08-29
10,Fornecedor_10,2021-09-28
11,Fornecedor_11,2021-10-28
12,Fornecedor_12,2021-11-27
13,Fornecedor_13,2021-12-27
14,Fornecedor_14,2022-01-26
15,Fornecedor_15,2022-02-25
16,Fornecedor_16,2022-03-27
17,Fornecedor_17,2022-04-26
18,Fornecedor_18,2022-05-26
19,Fornecedor_19,2022-06-25
20,Fornecedor_20,2022-07-25
21,Fornecedor_21,2022-08-24
22,Fornecedor_22,2022-09-23
23,Fornecedor_23,2022-10-23
24,Fornecedor_24,2022-11-22
25,Fornecedor_25,2022-12-22
26,Fornecedor_26,2023-01-21
27,Fornecedor_27,2023-02-20
28,Fornecedor_28,2023-03-22
29,Fornecedor_29,2023-04-21
30,Fornecedor_30,2023-05-21
