lote_id,material_id,fornecedor_id,data_recebimento,lote_fornecedor
1,9,10,2024-11-04,LoteForn_1
2,3,3,2024-06-12,LoteForn_2
3,5,23,2025-04-03,LoteForn_3
4,1,17,2022-09-14,LoteForn_4
5,4,20,2025-03-25,LoteForn_5
6,6,6,2025-01-16,LoteForn_6
7,5,18,2023-02-13,LoteForn_7
8,5,15,2021-01-28,LoteForn_8
9,4,24,2021-09-09,LoteForn_9
10,7,12,2024-05-24,LoteForn_10
11,2,22,2024-06-21,LoteForn_11
12,8,15,2022-06-27,LoteForn_12
13,8,6,2025-03-02,LoteForn_13
14,1,5,2024-03-28,LoteForn_14
15,9,6,2022-03-25,LoteForn_15
16,7,26,2023-09-28,LoteForn_16
17,8,24,2022-10-04,LoteForn_17
18,2,29,2025-12-26,LoteForn_18
19,7,19,2022-06-07,LoteForn_19
20,10,21,2025-07-11,LoteForn_20
21,3,12,2025-09-06,LoteForn_21
22,1,13,2022-11-20,LoteForn_22
23,6,19,2021-08-19,LoteForn_23
24,4,13,2021-10-18,LoteForn_24
25,8,16,2025-02-02,LoteForn_25
26,1,5,2022-04-13,LoteForn_26
27,8,14,2022-07-04,LoteForn_27
28,6,16,2025-04-01,LoteForn_28
29,2,7,2023-04-29,LoteForn_29
30,5,19,2022-01-15,LoteForn_30
31,4,6,2022-07-15,LoteForn_31
32,7,7,2023-12-05,LoteForn_32
33,8,13,2024-03-28,LoteForn_33
34,9,14,2024-08-23,LoteForn_34
35,4,7,2024-04-21,LoteForn_35
36,1,1,2024-12-12,LoteForn_36
37,4,16,2022-01-01,LoteForn_37
38,7,23,2024-11-30,LoteForn_38
39,1,28,2023-04-05,LoteForn_39
40,8,15,2025-04-28,LoteForn_40
41,5,13,2021-07-10,LoteForn_41
42,8,22,2021-07-14,LoteForn_42
43,10,21,2021-07-26,LoteForn_43
44,9,11,2021-02-19,LoteForn_44
45,10,21,2025-10-13,LoteForn_45
46,5,5,2021-09-29,LoteForn_46
47,6,18,2025-08-26,LoteForn_47
48,2,14,2021-01-08,LoteForn_48
49,7,20,2022-10-15,LoteForn_49
50,9,6,2021-02-22,LoteForn_50
51,10,9,2023-07-06,LoteForn_51
52,5,15,2024-05-30,LoteForn_52
53,8,2,2022-06-28,LoteForn_53
54,5,1,2021-08-30,LoteForn_54
55,4,27,2021-06-20,LoteForn_55
56,7,29,2025-02-13,LoteForn_56
57,5,15,2024-07-23,LoteForn_57
58,7,8,2021-02-15,LoteForn_58
59,6,14,2024-10-13,LoteForn_59
60,6,9,2023-07-08,LoteForn_60
61,8,4,2024-12-09,LoteForn_61
62,5,22,2022-09-03,LoteForn_62
63,3,24,2023-05-29,LoteForn_63
64,4,27,2023-06-07,LoteForn_64
65,2,28,2022-11-23,LoteForn_65
66,4,29,2021-03-03,LoteForn_66
67,1,10,2021-11-03,LoteForn_67
68,4,21,2022-04-29,LoteForn_68
69,8,10,2022-09-10,LoteForn_69
70,6,14,2025-09-24,LoteForn_70
71,7,1,2022-06-18,LoteForn_71
72,2,26,2023-11-04,LoteForn_72
73,7,1,2025-03-27,LoteForn_73
74,7,9,2022-02-07,LoteForn_74
75,7,19,2025-03-23,LoteForn_75
76,5,19,2024-05-08,LoteForn_76
77,8,25,2023-07-26,LoteForn_77
78,1,11,2023-01-26,LoteForn_78
79,7,10,2022-07-23,LoteForn_79
80,7,3,2025-03-03,LoteForn_80
81,5,29,2025-08-14,LoteForn_81
82,5,7,2021-10-13,LoteForn_82
83,9,5,2025-10-25,LoteForn_83
84,1,20,2025-03-26,LoteForn_84
85,6,2,2025-08-29,LoteForn_85
86,6,25,2021-09-25,LoteForn_86
87,5,22,2024-12-10,LoteForn_87
88,6,5,2022-12-11,LoteForn_88
