parada_id,maquina_id,hora_inicio_parada,hora_fim_parada,motivo_parada,data_registro
1,4,2021-09-30 10:43:00,2021-09-30 11:59:00,falha_eletrica,2021-09-30 10:43:00
2,1,2025-02-19 16:40:00,2025-02-19 17:43:00,falha_eletrica,2025-02-19 16:40:00
3,5,2024-08-04 09:43:00,2024-08-04 11:30:00,ajuste_operador,2024-08-04 09:43:00
4,4,2023-04-29 17:42:00,2023-04-29 18:12:00,falha_mecanica,2023-04-29 17:42:00
5,5,2025-09-03 14:28:00,2025-09-03 15:16:00,falha_eletrica,2025-09-03 14:28:00
6,4,2024-04-17 22:15:00,2024-04-17 22:46:00,falha_eletrica,2024-04-17 22:15:00
7,3,2023-07-03 11:11:00,2023-07-03 12:06:00,manutencao_preventiva,2023-07-03 11:11:00
8,1,2022-08-25 15:54:00,2022-08-25 17:03:00,falha_mecanica,2022-08-25 15:54:00
9,1,2024-12-04 19:02:00,2024-12-04 20:00:00,falha_mecanica,2024-12-04 19:02:00
10,3,2024-01-27 13:11:00,2024-01-27 13:40:00,falha_eletrica,2024-01-27 13:11:00
11,2,2021-06-11 01:35:00,2021-06-11 02:43:00,manutencao_preventiva,2021-06-11 01:35:00
12,1,2025-01-17 10:07:00,2025-01-17 11:59:00,ajuste_operador,2025-01-17 10:07:00
13,2,2024-08-15 00:30:00,2024-08-15 02:06:00,manutencao_preventiva,2024-08-15 00:30:00
14,4,2024-09-10 10:42:00,2024-09-10 12:28:00,ajuste_operador,2024-09-10 10:42:00
15,3,2022-03-07 08:00:00,2022-03-07 09:26:00,manutencao_preventiva,2022-03-07 08:00:00
16,5,2024-04-16 03:20:00,2024-04-16 05:18:00,falha_eletrica,2024-04-16 03:20:00
17,5,2021-07-25 04:49:00,2021-07-25 06:18:00,falha_mecanica,2021-07-25 04:49:00
18,2,2022-08-04 13:20:00,2022-08-04 13:50:00,manutencao_preventiva,2022-08-04 13:20:00
19,3,2021-04-21 05:58:00,2021-04-21 07:07:00,falha_eletrica,2021-04-21 05:58:00
20,1,2023-03-13 05:28:00,2023-03-13 06:52:00,falha_mecanica,2023-03-13 05:28:00
21,1,2021-01-18 00:29:00,2021-01-18 01:10:00,falha_eletrica,2021-01-18 00:29:00
22,5,2022-11-10 11:08:00,2022-11-10 12:41:00,falha_mecanica,2022-11-10 11:08:00
23,1,2021-11-07 11:48:00,2021-11-07 13:29:00,ajuste_operador,2021-11-07 11:48:00
24,5,2025-04-01 12:42:00,2025-04-01 12:58:00,manutencao_preventiva,2025-04-01 12:42:00
25,4,2024-04-13 15:37:00,2024-04-13 16:14:00,ajuste_operador,2024-04-13 15:37:00
26,2,2023-12-27 21:31:00,2023-12-27 21:45:00,ajuste_operador,2023-12-27 21:31:00
27,4,2022-03-20 03:48:00,2022-03-20 05:38:00,manutencao_preventiva,2022-03-20 03:48:00
28,3,2025-03-20 20:34:00,2025-03-20 21:15:00,falha_mecanica,2025-03-20 20:34:00
29,4,2023-08-31 14:38:00,2023-08-31 15:44:00,manutencao_preventiva,2023-08-31 14:38:00
30,2,2024-12-07 14:48:00,2024-12-07 15:15:00,falha_eletrica,2024-12-07 14:48:00
31,4,2024-04-09 07:07:00,2024-04-09 09:00:00,ajuste_operador,2024-04-09 07:07:00
32,2,2021-04-15 20:46:00,2021-04-15 21:47:00,manutencao_preventiva,2021-04-15 20:46:00
33,3,2024-05-02 16:05:00,2024-05-02 16:41:00,falha_mecanica,2024-05-02 16:05:00
34,4,2025-01-16 14:17:00,2025-01-16 15:00:00,manutencao_preventiva,2025-01-16 14:17:00
35,1,2023-05-12 01:16:00,2023-05-12 02:10:00,manutencao_preventiva,2023-05-12 01:16:00
36,5,2024-09-20 07:55:00,2024-09-20 08:20:00,ajuste_operador,2024-09-20 07:55:00
37,1,2024-08-09 13:20:00,2024-08-09 14:52:00,manutencao_preventiva,2024-08-09 13:20:00
38,5,2025-03-25 11:18:00,2025-03-25 11:49:00,ajuste_operador,2025-03-25 11:18:00
39,3,2024-04-26 23:02:00,2024-04-27 00:31:00,falha_mecanica,2024-04-26 23:02:00
40,2,2023-06-07 18:55:00,2023-06-07 20:00:00,falha_mecanica,2023-06-07 18:55:00
41,3,2024-04-26 18:57:00,2024-04-26 19:59:00,manutencao_preventiva,2024-04-26 18:57:00
42,5,2023-06-13 16:38:00,2023-06-13 17:36:00,ajuste_operador,2023-06-13 16:38:00
43,3,2025-10-11 22:55:00,2025-10-12 00:20:00,ajuste_operador,2025-10-11 22:55:00
44,3,2024-03-25 03:24:00,2024-03-25 03:50:00,ajuste_operador,2024-03-25 03:24:00
45,2,2021-05-13 22:29:00,2021-05-13 22:43:00,falha_mecanica,2021-05-13 22:29:00
46,5,2021-09-05 12:47:00,2021-09-05 12:54:00,ajuste_operador,2021-09-05 12:47:00
47,3,2022-05-11 14:09:00,2022-05-11 14:37:00,falha_eletrica,2022-05-11 14:09:00
48,4,2025-05-31 04:53:00,2025-05-31 06:34:00,manutencao_preventiva,2025-05-31 04:53:00
49,3,2025-10-06 16:18:00,2025-10-06 16:30:00,falha_eletrica,2025-10-06 16:18:00
50,2,2024-05-18 20:38:00,2024-05-18 20:48:00,falha_mecanica,2024-05-18 20:38:00
51,5,2023-11-21 15:38:00,2023-11-21 17:09:00,falha_mecanica,2023-11-21 15:38:00
52,3,2025-11-05 05:58:00,2025-11-05 07:57:00,manutencao_preventiva,2025-11-05 05:58:00
53,4,2022-09-15 16:21:00,2022-09-15 16:42:00,falha_mecanica,2022-09-15 16:21:00
54,3,2024-01-14 03:04:00,2024-01-14 04:04:00,falha_mecanica,2024-01-14 03:04:00
55,3,2024-07-22 12:51:00,2024-07-22 14:48:00,manutencao_preventiva,2024-07-22 12:51:00
56,5,2024-09-21 04:55:00,2024-09-21 06:36:00,ajuste_operador,2024-09-21 04:55:00
57,4,2021-11-30 02:48:00,2021-11-30 03:03:00,manutencao_preventiva,2021-11-30 02:48:00
58,5,2023-05-03 07:08:00,2023-05-03 07:36:00,falha_mecanica,2023-05-03 07:08:00
59,3,2022-06-17 10:05:00,2022-06-17 11:04:00,ajuste_operador,2022-06-17 10:05:00
60,4,2023-06-21 15:25:00,2023-06-21 15:58:00,falha_eletrica,2023-06-21 15:25:00
