Ano,Arquivo,Capacidade,Capacidade_utilizada,Custo_manutencao,Descricao_falha,Despesas,Divida_Bruta,Divida_Curto_Prazo,Divida_Longo_Prazo,Divida_liquida,Dividendos,EBITDA,Energia_consumida_kwh,Falha_maquina,Fluxo_Caixa_Financiamento,Fluxo_Caixa_Investimento,Fluxo_Caixa_Livre,Fluxo_Caixa_Operacional,Horas_paradas,Investimento_capital,Linha_producao,Lucro_bruto,Lucro_liquido,Margem_EBITDA,Margem_liquida,Perda_eficiencia,Producao,ROA,ROE,Receita,Receita_impactada,Receita_perdida,Responsavel,Tipo_evento,Trimestre,Unidades_perdidas
2025,2015\\textos\\2015_1T_AP.txt,73%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,817 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,758 milhões R$,10.9%,10.1%,Não informado,1.431 mil toneladas,Não informado,Não informado,7.494 milhões R$,Não informado,Não informado,Não informado,Não informado,1T,Não informado
2025,2015\\textos\\2015_1T_AP.txt,86%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,1.774 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,20.2%,Não informado,Não informado,1.229 mil toneladas,Não informado,Não informado,8.768 milhões R$,Não informado,Não informado,Não informado,Não informado,1T,Não informado
2025,2015\\textos\\2015_1T_AP.txt,63%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,188 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,15.8%,Não informado,Não informado,227 mil toneladas,Não informado,Não informado,1.191 milhões R$,Não informado,Não informado,Não informado,Não informado,1T,Não informado
2025,2015\\textos\\2015_1T_AP.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,5.9 bilhões R$,Não informado,2.391 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,1.400 milhões R$,Não informado,Não informado,Não informado,14.2%,Não informado,Não informado,Não informado,Não informado,Não informado,16.822 milhões R$,Não informado,Não informado,Não informado,Não informado,1T,Não informado
2025,2015\\textos\\2015_1T_RR.txt,Superior a 25 milhões de toneladas de aço/ano,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,1T,Não informado
2015,2015\\textos\\2015_1T_RR.txt,Não informado,Não informado,Não informado,Não informado,9.335 milhões R$ (Custo de vendas),Não informado,Não informado,Não informado,33.655 milhões R$,Não informado,1.238 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,393 milhões R$,11.9%,3.8%,Não informado,4.341 mil toneladas (Aço bruto),Não informado,Não informado,10.447 milhões R$,Não informado,Não informado,Não informado,Não informado,1T,Não informado
2015,2015\\textos\\2015_1T_RR.txt,Não informado,Não informado,Não informado,Não informado,"660 milhões R$ (Despesas com vendas, gerais e administrativas)",Não informado,Não informado,Não informado,Não informado,Não informado,1.089 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,267 milhões R$,10.4%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,1T,Não informado
2015,2015\\textos\\2015_1T_RR.txt,Não informado,Não informado,Não informado,Não informado,898 milhões R$ (Despesas financeiras),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,267 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,1T,Não informado
2015,2015\\textos\\2015_1T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,17.035 milhões R$,Não informado,515 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,15.8%,Não informado,Não informado,Não informado,Não informado,Não informado,3.266 milhões R$,Não informado,Não informado,Não informado,Não informado,1T,Não informado
2015,2015\\textos\\2015_1T_RR.txt,Não informado,Não informado,Não informado,Não informado,3.423 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,143 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,3.9%,Não informado,Não informado,1.546 mil toneladas,Não informado,Não informado,3.648 milhões R$,Não informado,Não informado,Não informado,Não informado,1T,Não informado
