Ano,Trimestre,Arquivo,Receita,EBITDA,Lucro_liquido,Lucro_bruto,Margem_EBITDA,Margem_liquida,Despesas,Divida_liquida,Investimento_capital,Receita_perdida,Producao,Capacidade,Falha_maquina,Horas_paradas,Unidades_perdidas,Energia_consumida_kwh,Tipo_evento,Descricao_falha,Responsavel,Linha_producao,Custo_manutencao,Receita_impactada,Perda_eficiencia,Capacidade_utilizada
2025,1T,2015\\textos\\2015_1T_AP.txt,7.494 milhões R$,817 milhões R$,758 milhões R$,Não informado,10.9%,10.1%,Não informado,Não informado,Não informado,Não informado,1.431 mil toneladas,73%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2025,1T,2015\\textos\\2015_1T_AP.txt,8.768 milhões R$,1.774 milhões R$,Não informado,Não informado,20.2%,Não informado,Não informado,Não informado,Não informado,Não informado,1.229 mil toneladas,86%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2025,1T,2015\\textos\\2015_1T_AP.txt,1.191 milhões R$,188 milhões R$,Não informado,Não informado,15.8%,Não informado,Não informado,Não informado,Não informado,Não informado,227 mil toneladas,63%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2025,1T,2015\\textos\\2015_1T_AP.txt,16.822 milhões R$,2.391 milhões R$,Não informado,Não informado,14.2%,Não informado,Não informado,5.9 bilhões R$,1.400 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2025,1T,2015\\textos\\2015_1T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Superior a 25 milhões de toneladas de aço/ano,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,1T,2015\\textos\\2015_1T_RR.txt,10.447 milhões R$,1.238 milhões R$,393 milhões R$,Não informado,11.9%,3.8%,9.335 milhões R$ (Custo de vendas),33.655 milhões R$,Não informado,Não informado,4.341 mil toneladas (Aço bruto),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,1T,2015\\textos\\2015_1T_RR.txt,Não informado,1.089 milhões R$,267 milhões R$,Não informado,10.4%,Não informado,"660 milhões R$ (Despesas com vendas, gerais e administrativas)",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,1T,2015\\textos\\2015_1T_RR.txt,Não informado,Não informado,267 milhões R$,Não informado,Não informado,Não informado,898 milhões R$ (Despesas financeiras),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,1T,2015\\textos\\2015_1T_RR.txt,3.266 milhões R$,515 milhões R$,Não informado,Não informado,15.8%,Não informado,Não informado,17.035 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,1T,2015\\textos\\2015_1T_RR.txt,3.648 milhões R$,143 milhões R$,Não informado,Não informado,3.9%,Não informado,3.423 milhões R$,Não informado,Não informado,Não informado,1.546 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,1T,2015\\textos\\2015_1T_RR.txt,1.509 milhões R$,140 milhões R$,Não informado,Não informado,9.3%,Não informado,Não informado,Não informado,Não informado,Não informado,408 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,1T,2015\\textos\\2015_1T_RR.txt,2.246 milhões R$,260 milhões R$,Não informado,Não informado,11.6%,Não informado,Não informado,Não informado,Não informado,Não informado,859 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,1T,2015\\textos\\2015_1T_RR.txt,125 milhões R$,6 milhões R$,440.091,Não informado,4.8%,352072.8%,119 milhões R$ (Custo das vendas); 173.583 (Despesas com vendas); 533.805 (Despesas gerais e administrativas),24.599.182,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
