Ano,Trimestre,Arquivo,Receita,EBITDA,Lucro_liquido,Lucro_bruto,Margem_EBITDA,Margem_liquida,Despesas,Divida_liquida,Investimento_capital,Receita_perdida,ROE,ROA,Fluxo_Caixa_Operacional,Fluxo_Caixa_Livre,Fluxo_Caixa_Investimento,Fluxo_Caixa_Financiamento,Divida_Bruta,Divida_Curto_Prazo,Divida_Longo_Prazo,DividendosProducao,Capacidade,Falha_maquina,Horas_paradas,Unidades_perdidas,Energia_consumida_kwh,Tipo_evento,Descricao_falha,Responsavel,Linha_producao,Custo_manutencao,Receita_impactada,Perda_eficiencia,Capacidade_utilizada
2015,1T,2015\textos\2015_1T_RR.txt,10.447 milhões R$,1.089 milhões R$,267 milhões R$,Não informado,10.4%,2.6%,660 milhões R$,17.035 bilhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,22.882 bilhões R$,"8,6% da dívida bruta","91,4% da dívida bruta",Não informado,Superior a 25 milhões de toneladas de aço por ano,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2014,1T,2015\textos\2015_1T_RR.txt,10.554 milhões R$,1.196 milhões R$,440 milhões R$,Não informado,11.3%,4.2%,707 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Superior a 25 milhões de toneladas de aço por ano,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2014,4T,2015\textos\2015_1T_RR.txt,10.843 milhões R$,1.238 milhões R$,393 milhões R$,Não informado,11.4%,3.6%,681 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Superior a 25 milhões de toneladas de aço por ano,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,1T,2015\textos\2015_1T_RR.txt,3.266 milhões R$,503 milhões R$,Não informado,Não informado,15.4%,Não informado,2.763 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,22.882 milhões R$,1.966 milhões R$,20.916 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,1T,2015\textos\2015_1T_RR.txt,3.648 milhões R$,225 milhões R$,Não informado,Não informado,6.2%,Não informado,3.423 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,22.882 milhões R$,1.966 milhões R$,20.916 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,1T,2015\textos\2015_1T_RR.txt,1.509 milhões R$,168 milhões R$,Não informado,Não informado,11.1%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,1T,2015\textos\2015_1T_RR.txt,2.246 milhões R$,260 milhões R$,Não informado,Não informado,11.6%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,1T,2015\textos\2015_1T_RR.txt,125 milhões R$,12 milhões R$,Não informado,Não informado,9.6%,Não informado,119 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,1T,2015\textos\2015_1T_RR.txt,10.554 milhões R$,Não informado,440 milhões R$,Não informado,Não informado,4.2%,"480 milhões R$ (vendas), 534 milhões R$ (gerais/adm)",Não informado,Não informado,Não informado,Não informado,Não informado,542 milhões R$,Não informado,-761 milhões R$,77 milhões R$,20.588 milhões R$,8.060 milhões R$,20.588 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,2T,2015\textos\2015_2T_RR.txt,10.759 milhões R$,1.184 milhões R$,265 milhões R$,Não informado,11.0%,2.5%,"637 milhões R$ (vendas, gerais e administrativas)",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
